,HP Category_x,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,HP Category_y,u.CAGI_3mths,d.CAGI_3mths,u.IR_3mths,d.IR_3mths,u.NonIR_3mths,d.NonIR_3mths,u.CAGI_6mths,d.CAGI_6mths,u.IR_6mths,d.IR_6mths,u.NonIR_6mths,d.NonIR_6mths
87,100 hp,2010,4,132.0,3584350.0,46.0,1204880.0,86.0,2379470.0,100 hp,156.66666666666666,4205372.0,49.333333333333336,1234130.0,107.33333333333333,2971242.0,150.66666666666666,4082556.0,35.666666666666664,916466.0,115.0,3166090.0
88,100 hp,2010,5,174.0,4833424.0,46.0,1227894.0,128.0,3605530.0,100 hp,164.0,4459070.0,48.0,1231639.3333333333,116.0,3227430.6666666665,157.33333333333334,4293083.666666667,39.0,1004729.6666666666,118.33333333333333,3288354.0
89,100 hp,2010,6,178.0,5171994.0,40.0,1107878.0,138.0,4064116.0,100 hp,161.33333333333334,4529922.666666667,44.0,1180217.3333333333,117.33333333333333,3349705.3333333335,156.0,4269843.666666667,41.333333333333336,1065395.3333333333,114.66666666666667,3204448.3333333335
90,100 hp,2010,7,132.0,3468982.0,34.0,790248.0,98.0,2678734.0,100 hp,161.33333333333334,4491466.666666667,40.0,1042006.6666666666,121.33333333333333,3449460.0,159.0,4348419.333333333,44.666666666666664,1138068.3333333333,114.33333333333333,3210351.0
91,100 hp,2010,8,166.0,4538430.0,42.0,969978.0,124.0,3568452.0,100 hp,158.66666666666666,4393135.333333333,38.666666666666664,956034.6666666666,120.0,3437100.6666666665,161.33333333333334,4426102.666666667,43.333333333333336,1093837.0,118.0,3332265.6666666665
92,100 hp,2010,9,198.0,5453238.0,84.0,2281318.0,114.0,3171920.0,100 hp,165.33333333333334,4486883.333333333,53.333333333333336,1347181.3333333333,112.0,3139702.0,163.33333333333334,4508403.0,48.666666666666664,1263699.3333333333,114.66666666666667,3244703.6666666665
93,100 hp,2010,10,204.0,5622776.0,52.0,1409266.0,152.0,4213510.0,100 hp,189.33333333333334,5204814.666666667,59.333333333333336,1553520.6666666667,130.0,3651294.0,175.33333333333334,4848140.666666667,49.666666666666664,1297763.6666666667,125.66666666666667,3550377.0
94,100 hp,2010,11,204.0,5675712.0,44.0,1207576.0,160.0,4468136.0,100 hp,202.0,5583908.666666667,60.0,1632720.0,142.0,3951188.6666666665,180.33333333333334,4988522.0,49.333333333333336,1294377.3333333333,131.0,3694144.6666666665
95,100 hp,2010,12,254.0,6911458.0,74.0,1958542.0,180.0,4952916.0,100 hp,220.66666666666666,6069982.0,56.666666666666664,1525128.0,164.0,4544854.0,193.0,5278432.666666667,55.0,1436154.6666666667,138.0,3842278.0
96,100 hp,2011,1,162.0,4428332.0,30.0,779462.0,132.0,3648870.0,100 hp,206.66666666666666,5671834.0,49.333333333333336,1315193.3333333333,157.33333333333334,4356640.666666667,198.0,5438324.333333333,54.333333333333336,1434357.0,143.66666666666666,4003967.3333333335
