RecordID,HP Category,Year,Month,u.CAGI,d.CAGI,u.IR,d.IR,u.NonIR,d.NonIR,r3mo_d_CAGI,r3mo_d_IR,r3mo_d_NonIR,r3mo_u_CAGI,r3mo_u_IR,r3mo_u_NonIR,r6mo_d_CAGI,r6mo_d_IR,r6mo_d_NonIR,r6mo_u_CAGI,r6mo_u_IR,r6mo_u_NonIR
90,100 hp,2010,6,178,5171994,40,1107878,138,4064116,4529922.66666667,1180217.33333333,3349705.33333333,161.333333333333,44,117.333333333333,4269843.66666667,1065395.33333333,3204448.33333333,156,41.3333333333333,114.666666666667
91,100 hp,2010,7,132,3468982,34,790248,98,2678734,4491466.66666667,1042006.66666667,3449460,161.333333333333,40,121.333333333333,4348419.33333333,1138068.33333333,3210351,159,44.6666666666667,114.333333333333
92,100 hp,2010,8,166,4538430,42,969978,124,3568452,4393135.33333333,956034.666666667,3437100.66666667,158.666666666667,38.6666666666667,120,4426102.66666667,1093837,3332265.66666667,161.333333333333,43.3333333333333,118
93,100 hp,2010,9,198,5453238,84,2281318,114,3171920,4486883.33333333,1347181.33333333,3139702,165.333333333333,53.3333333333333,112,4508403,1263699.33333333,3244703.66666667,163.333333333333,48.6666666666667,114.666666666667
94,100 hp,2010,10,204,5622776,52,1409266,152,4213510,5204814.66666667,1553520.66666667,3651294,189.333333333333,59.3333333333333,130,4848140.66666667,1297763.66666667,3550377,175.333333333333,49.6666666666667,125.666666666667
95,100 hp,2010,11,204,5675712,44,1207576,160,4468136,5583908.66666667,1632720,3951188.66666667,202,60,142,4988522,1294377.33333333,3694144.66666667,180.333333333333,49.3333333333333,131
96,100 hp,2010,12,254,6911458,74,1958542,180,4952916,6069982,1525128,4544854,220.666666666667,56.6666666666667,164,5278432.66666667,1436154.66666667,3842278,193,55,138
97,100 hp,2011,1,162,4428332,30,779462,132,3648870,5671834,1315193.33333333,4356640.66666667,206.666666666667,49.3333333333333,157.333333333333,5438324.33333333,1434357,4003967.33333333,198,54.3333333333333,143.666666666667
98,100 hp,2011,2,200,5277422,56,1359860,144,3917562,5539070.66666667,1365954.66666667,4173116,205.333333333333,53.3333333333333,152,5561489.66666667,1499337.33333333,4062152.33333333,203.666666666667,56.6666666666667,147
99,100 hp,2011,3,234,6671824,62,1724744,172,4947080,5459192.66666667,1288022,4171170.66666667,198.666666666667,49.3333333333333,149.333333333333,5764587.33333333,1406575,4358012.33333333,209.666666666667,53,156.666666666667
100,100 hp,2011,4,206,5623768,50,1475470,156,4148298,5857671.33333333,1520024.66666667,4337646.66666667,213.333333333333,56,157.333333333333,5764752.66666667,1417609,4347143.66666667,210,52.6666666666667,157.333333333333
101,100 hp,2011,5,216,6347220,46,1360616,170,4986604,6214270.66666667,1520276.66666667,4693994,218.666666666667,52.6666666666667,166,5876670.66666667,1443115.66666667,4433555,212,53,159
102,100 hp,2011,6,246,6731618,52,1436186,194,5295432,6234202,1424090.66666667,4810111.33333333,222.666666666667,49.3333333333333,173.333333333333,5846697.33333333,1356056.33333333,4490641,210.666666666667,49.3333333333333,161.333333333333
